stop_name,sr_number,category,complaint_description,created_date,age_days,age_years,age_band
1609 Lavaca/17th (Midblock),SR23000091,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2023-11-02,892,2.4438356164383563,2–3 years
1609 Lavaca/17th (Midblock),SR23000102,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2023-11-06,888,2.4328767123287673,2–3 years
1609 Lavaca/17th (Midblock),SR23000011,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2023-11-21,873,2.3917808219178083,2–3 years
1609 Lavaca/17th (Midblock),SR23000046,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,2023-12-03,861,2.3589041095890413,2–3 years
1609 Lavaca/17th (Midblock),SR23000115,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2024-01-09,824,2.2575342465753425,2–3 years
1609 Lavaca/17th (Midblock),SR23000012,Missing Benches,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,2024-01-13,820,2.2465753424657535,2–3 years
1609 Lavaca/17th (Midblock),SR23000034,Safety (Lighting),Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,2024-01-20,813,2.2273972602739724,2–3 years
1609 Lavaca/17th (Midblock),SR23000000,Weather Exposure,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,2024-02-25,777,2.128767123287671,2–3 years
1609 Lavaca/17th (Midblock),SR23000139,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2024-03-03,770,2.1095890410958904,2–3 years
1609 Lavaca/17th (Midblock),SR23000055,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2024-03-11,762,2.0876712328767124,2–3 years
1609 Lavaca/17th (Midblock),SR23000103,Safety (Lighting),Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,2024-03-22,751,2.0575342465753423,2–3 years
1609 Lavaca/17th (Midblock),SR23000120,Safety Concerns,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,2024-03-30,743,2.0356164383561643,2–3 years
1609 Lavaca/17th (Midblock),SR23000070,Safety (Lighting),Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,2024-04-10,732,2.0054794520547947,2–3 years
1609 Lavaca/17th (Midblock),SR23000015,Safety (Lighting),Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,2024-04-14,728,1.9945205479452055,1–2 years
1609 Lavaca/17th (Midblock),SR23000060,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2024-04-16,726,1.989041095890411,1–2 years
1609 Lavaca/17th (Midblock),SR23000131,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2024-05-10,702,1.9232876712328768,1–2 years
1609 Lavaca/17th (Midblock),SR23000031,Safety (Lighting),Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,2024-05-10,702,1.9232876712328768,1–2 years
1609 Lavaca/17th (Midblock),SR23000097,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2024-05-11,701,1.9205479452054792,1–2 years
1609 Lavaca/17th (Midblock),SR23000020,Safety (Lighting),Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,2024-06-02,679,1.8602739726027395,1–2 years
1609 Lavaca/17th (Midblock),SR23000026,Safety (Lighting),Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,2024-06-03,678,1.8575342465753424,1–2 years
1609 Lavaca/17th (Midblock),SR23000137,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2024-06-09,672,1.841095890410959,1–2 years
1609 Lavaca/17th (Midblock),SR23000007,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2024-06-14,667,1.8273972602739723,1–2 years
1609 Lavaca/17th (Midblock),SR23000001,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2024-06-28,653,1.789041095890411,1–2 years
1609 Lavaca/17th (Midblock),SR23000089,Missing Shelter,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,2024-07-15,636,1.7424657534246577,1–2 years
1609 Lavaca/17th (Midblock),SR23000076,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2024-08-08,612,1.6767123287671233,1–2 years
1609 Lavaca/17th (Midblock),SR23000108,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2024-08-15,605,1.6575342465753424,1–2 years
1609 Lavaca/17th (Midblock),SR23000017,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,2024-08-20,600,1.643835616438356,1–2 years
1609 Lavaca/17th (Midblock),SR23000023,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2024-08-22,598,1.6383561643835616,1–2 years
1609 Lavaca/17th (Midblock),SR23000135,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,2024-09-16,573,1.5698630136986302,1–2 years
1609 Lavaca/17th (Midblock),SR23000141,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2024-09-26,563,1.5424657534246575,1–2 years
1609 Lavaca/17th (Midblock),SR23000061,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2024-09-30,559,1.5315068493150683,1–2 years
1609 Lavaca/17th (Midblock),SR23000132,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2024-10-14,545,1.4931506849315068,1–2 years
1609 Lavaca/17th (Midblock),SR23000025,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2024-11-09,519,1.421917808219178,1–2 years
1609 Lavaca/17th (Midblock),SR23000096,Missing Benches,No benches at 1609 Lavaca/17th (Midblock) bus stop,2024-11-15,513,1.4054794520547946,1–2 years
1609 Lavaca/17th (Midblock),SR23000081,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2024-11-18,510,1.3972602739726028,1–2 years
1609 Lavaca/17th (Midblock),SR23000019,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2024-12-03,495,1.356164383561644,1–2 years
1609 Lavaca/17th (Midblock),SR23000105,Missing Shelter,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,2024-12-15,483,1.3232876712328767,1–2 years
1609 Lavaca/17th (Midblock),SR23000101,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2024-12-20,478,1.3095890410958904,1–2 years
1609 Lavaca/17th (Midblock),SR23000013,Safety Concerns,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),2025-01-01,466,1.2767123287671234,1–2 years
1609 Lavaca/17th (Midblock),SR23000084,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-01-03,464,1.2712328767123289,1–2 years
1609 Lavaca/17th (Midblock),SR23000117,Missing Benches,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,2025-01-05,462,1.2657534246575342,1–2 years
1609 Lavaca/17th (Midblock),SR23000093,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2025-01-08,459,1.2575342465753423,1–2 years
1609 Lavaca/17th (Midblock),SR23000123,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-01-14,453,1.2410958904109588,1–2 years
1609 Lavaca/17th (Midblock),SR23000124,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-01-14,453,1.2410958904109588,1–2 years
1609 Lavaca/17th (Midblock),SR23000113,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2025-01-16,451,1.2356164383561643,1–2 years
1609 Lavaca/17th (Midblock),SR23000133,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2025-01-18,449,1.2301369863013698,1–2 years
1609 Lavaca/17th (Midblock),SR23000040,Missing Benches,No benches at 1609 Lavaca/17th (Midblock) bus stop,2025-01-22,445,1.2191780821917808,1–2 years
1609 Lavaca/17th (Midblock),SR23000077,Safety Concerns,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),2025-01-29,438,1.2,1–2 years
1609 Lavaca/17th (Midblock),SR23000086,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2025-02-03,433,1.1863013698630136,1–2 years
1609 Lavaca/17th (Midblock),SR23000112,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,2025-02-05,431,1.180821917808219,1–2 years
1609 Lavaca/17th (Midblock),SR23000062,Missing Benches,No benches at 1609 Lavaca/17th (Midblock) bus stop,2025-03-07,401,1.0986301369863014,1–2 years
1609 Lavaca/17th (Midblock),SR23000110,Missing Shelter,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,2025-03-27,381,1.0438356164383562,1–2 years
1609 Lavaca/17th (Midblock),SR23000114,Weather Exposure,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,2025-04-14,363,0.9945205479452056,< 1 year
1609 Lavaca/17th (Midblock),SR23000088,Safety (Lighting),Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,2025-04-18,359,0.9835616438356164,< 1 year
1609 Lavaca/17th (Midblock),SR23000130,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2025-05-13,334,0.915068493150685,< 1 year
1609 Lavaca/17th (Midblock),SR23000082,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-06-05,311,0.852054794520548,< 1 year
1609 Lavaca/17th (Midblock),SR23000033,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-06-08,308,0.8438356164383561,< 1 year
1609 Lavaca/17th (Midblock),SR23000035,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2025-06-08,308,0.8438356164383561,< 1 year
1609 Lavaca/17th (Midblock),SR23000016,Safety (Lighting),Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,2025-06-13,303,0.8301369863013699,< 1 year
1609 Lavaca/17th (Midblock),SR23000116,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-06-17,299,0.8191780821917808,< 1 year
1609 Lavaca/17th (Midblock),SR23000104,Safety (Lighting),Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,2025-06-19,297,0.8136986301369863,< 1 year
1609 Lavaca/17th (Midblock),SR23000127,Safety Concerns,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,2025-06-19,297,0.8136986301369863,< 1 year
1609 Lavaca/17th (Midblock),SR23000048,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2025-07-25,261,0.7150684931506849,< 1 year
1609 Lavaca/17th (Midblock),SR23000066,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2025-09-18,206,0.5643835616438356,< 1 year
1609 Lavaca/17th (Midblock),SR23000042,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-09-28,196,0.536986301369863,< 1 year
1609 Lavaca/17th (Midblock),SR23000099,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,2025-10-10,184,0.5041095890410959,< 1 year
1609 Lavaca/17th (Midblock),SR23000126,Weather Exposure,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,2025-10-17,177,0.4849315068493151,< 1 year
1609 Lavaca/17th (Midblock),SR23000094,Missing Shelter,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,2025-10-28,166,0.4547945205479452,< 1 year
1609 Lavaca/17th (Midblock),SR23000018,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2025-11-09,154,0.421917808219178,< 1 year
1609 Lavaca/17th (Midblock),SR23000100,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2025-11-13,150,0.410958904109589,< 1 year
1609 Lavaca/17th (Midblock),SR23000128,Weather Exposure,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,2025-11-14,149,0.4082191780821917,< 1 year
1609 Lavaca/17th (Midblock),SR23000083,Missing Shelter,No shelter at 1609 Lavaca/17th (Midblock) transit stop,2025-11-21,142,0.3890410958904109,< 1 year
1609 Lavaca/17th (Midblock),SR23000038,Other,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),2025-12-02,131,0.3589041095890411,< 1 year
1609 Lavaca/17th (Midblock),SR23000079,Missing Shelter,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,2025-12-18,115,0.3150684931506849,< 1 year
1609 Lavaca/17th (Midblock),SR23000032,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2025-12-24,109,0.2986301369863013,< 1 year
1609 Lavaca/17th (Midblock),SR23000074,Missing Benches,No benches at 1609 Lavaca/17th (Midblock) bus stop,2025-12-31,102,0.2794520547945205,< 1 year
1609 Lavaca/17th (Midblock),SR23000134,Missing Benches,Request bench installation at 1609 Lavaca/17th (Midblock),2026-01-01,101,0.2767123287671232,< 1 year
1609 Lavaca/17th (Midblock),SR23000078,Missing Shelter,Request shelter installation at 1609 Lavaca/17th (Midblock),2026-01-30,72,0.1972602739726027,< 1 year
