Rank,Stop Name,Category,Responsible Party,SR Number,Complaint Description,Status,Created Date,Close Date,Age Days,Age Years,Duplicate After Closed,Year
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000838,No shelter at 115 7Th/Colorado transit stop,Open,2024-01-14,,819,2.243835616438356,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000823,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2024-01-15,,818,2.241095890410959,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000871,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Closed,2024-03-17,2024-03-17,0,0.0,No,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000879,No shelter at 115 7Th/Colorado transit stop,Open,2024-03-21,,752,2.0602739726027397,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000836,No shelter at 115 7Th/Colorado transit stop,Open,2024-07-15,,636,1.7424657534246575,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000827,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2024-08-01,,619,1.6958904109589041,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000881,No weather protection at 115 7Th/Colorado transit stop,Open,2024-08-15,,605,1.6575342465753424,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000872,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Open,2024-08-16,,604,1.6547945205479453,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000851,Request shelter installation at 115 7Th/Colorado,Closed,2024-09-02,2024-09-02,0,0.0,No,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000839,No shelter at 115 7Th/Colorado transit stop,Open,2024-09-22,,567,1.5534246575342465,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000820,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2024-10-30,,529,1.4493150684931506,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000890,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2024-12-20,,478,1.3095890410958904,Yes,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000829,No weather protection at 115 7Th/Colorado transit stop,Closed,2024-12-31,2024-12-31,0,0.0,No,2024
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000873,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2025-01-03,,464,1.2712328767123289,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000815,No shelter at 115 7Th/Colorado transit stop,Open,2025-01-16,,451,1.2356164383561643,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000860,Request shelter installation at 115 7Th/Colorado,Closed,2025-02-02,2025-02-02,0,0.0,No,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000857,Request shelter installation at 115 7Th/Colorado,Closed,2025-02-10,2025-02-10,0,0.0,No,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000850,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2025-03-20,,388,1.063013698630137,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000845,Request shelter installation at 115 7Th/Colorado,Closed,2025-04-18,2025-04-18,0,0.0,No,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000822,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Open,2025-04-29,,348,0.9534246575342465,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000846,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Closed,2025-06-04,2025-06-04,0,0.0,No,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000825,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2025-06-23,,293,0.8027397260273973,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000886,No shelter at 115 7Th/Colorado transit stop,Open,2025-06-26,,290,0.7945205479452054,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000877,Transit stop 115 7Th/Colorado needs shelter for rider protection,Closed,2025-07-15,2025-07-15,0,0.0,No,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000861,Request shelter installation at 115 7Th/Colorado,Open,2025-08-17,,238,0.6520547945205479,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000893,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2025-09-28,,196,0.536986301369863,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000819,Transit stop 115 7Th/Colorado needs shelter for rider protection,Open,2025-09-29,,195,0.5342465753424658,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000842,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Open,2025-11-23,,140,0.3835616438356164,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000844,Bus stop at 115 7Th/Colorado missing shelter - riders exposed to weather,Closed,2025-11-29,2025-11-29,0,0.0,No,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000894,No shelter at 115 7Th/Colorado transit stop,Open,2025-12-16,,117,0.32054794520547947,Yes,2025
8,115 7Th/Colorado,Missing Shelter,CapMetro,SR23000863,No shelter at 115 7Th/Colorado transit stop,Open,2026-01-23,,79,0.21643835616438356,Yes,2026
8,115 7Th/Colorado,Other,TBD,SR23000830,Riders have nowhere to sit at 115 7Th/Colorado,Open,2023-07-04,,1013,2.7753424657534245,No,2023
8,115 7Th/Colorado,Other,TBD,SR23000826,Riders have nowhere to sit at 115 7Th/Colorado,Open,2023-08-07,,979,2.682191780821918,No,2023
8,115 7Th/Colorado,Other,TBD,SR23000824,Riders have nowhere to sit at 115 7Th/Colorado,Open,2024-04-05,,737,2.0191780821917806,No,2024
8,115 7Th/Colorado,Other,TBD,SR23000841,Riders have nowhere to sit at 115 7Th/Colorado,Open,2024-04-08,,734,2.010958904109589,No,2024
8,115 7Th/Colorado,Other,TBD,SR23000814,Riders have nowhere to sit at 115 7Th/Colorado,Open,2025-01-26,,441,1.2082191780821918,No,2025
8,115 7Th/Colorado,Other,TBD,SR23000897,Riders have nowhere to sit at 115 7Th/Colorado,Closed,2025-07-08,2025-07-08,0,0.0,No,2025
8,115 7Th/Colorado,Other,TBD,SR23000812,Riders have nowhere to sit at 115 7Th/Colorado,Open,2025-07-28,,258,0.7068493150684931,Yes,2025
8,115 7Th/Colorado,Safety (Lighting),City of Austin,SR23000888,Safety concerns at 115 7Th/Colorado bus stop after dark,Open,2023-05-12,,1066,2.9205479452054797,No,2023
8,115 7Th/Colorado,Safety (Lighting),City of Austin,SR23000869,Safety concerns at 115 7Th/Colorado bus stop after dark,Open,2023-09-30,,925,2.5342465753424657,No,2023
8,115 7Th/Colorado,Safety Concerns,City of Austin / CapMetro,SR23000866,Feeling unsafe waiting at 115 7Th/Colorado,Open,2023-11-11,,883,2.419178082191781,No,2023
8,115 7Th/Colorado,Safety Concerns,City of Austin / CapMetro,SR23000818,Request safety improvements at 115 7Th/Colorado stop,Open,2023-12-29,,835,2.287671232876712,No,2023
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000821,Riders getting wet at 115 7Th/Colorado during rain,Open,2023-02-21,,1146,3.1397260273972605,No,2023
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000880,Riders getting wet at 115 7Th/Colorado during rain,Closed,2023-04-21,2023-04-21,0,0.0,No,2023
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000884,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,Open,2023-05-17,,1061,2.9068493150684933,Yes,2023
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000876,Riders getting wet at 115 7Th/Colorado during rain,Open,2023-06-10,,1037,2.841095890410959,Yes,2023
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000859,Riders getting wet at 115 7Th/Colorado during rain,Open,2023-11-10,,884,2.421917808219178,Yes,2023
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000887,Riders getting wet at 115 7Th/Colorado during rain,Open,2024-03-28,,745,2.041095890410959,Yes,2024
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000875,Riders getting wet at 115 7Th/Colorado during rain,Open,2024-08-29,,591,1.6191780821917807,Yes,2024
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000858,Riders getting wet at 115 7Th/Colorado during rain,Open,2024-09-03,,586,1.6054794520547946,Yes,2024
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000828,Riders getting wet at 115 7Th/Colorado during rain,Open,2024-12-26,,472,1.2931506849315069,Yes,2024
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000878,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,Open,2025-03-09,,399,1.093150684931507,Yes,2025
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000896,Riders getting wet at 115 7Th/Colorado during rain,Open,2025-07-10,,276,0.7561643835616438,Yes,2025
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000891,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,Closed,2025-07-14,2025-07-14,0,0.0,No,2025
8,115 7Th/Colorado,Weather Exposure,CapMetro,SR23000855,Bus stop 115 7Th/Colorado exposed to extreme heat/sun,Open,2025-12-05,,128,0.3506849315068493,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000075,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2023-02-14,,1153,3.158904109589041,No,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000071,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Closed,2023-03-25,2023-03-25,0,0.0,No,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000069,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Closed,2023-07-13,2023-07-13,0,0.0,No,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000054,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-07-15,,1002,2.745205479452055,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000003,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-08-07,,979,2.682191780821918,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000047,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2023-08-08,,978,2.6794520547945204,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000121,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2023-10-23,,902,2.4712328767123286,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000073,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-11-02,,892,2.4438356164383563,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000012,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Open,2024-01-13,,820,2.2465753424657535,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000044,Request bench installation at 1609 Lavaca/17th (Midblock),Closed,2024-04-10,2024-04-10,0,0.0,No,2024
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000131,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2024-05-10,,702,1.9232876712328768,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000096,No benches at 1609 Lavaca/17th (Midblock) bus stop,Open,2024-11-15,,513,1.4054794520547946,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000117,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Open,2025-01-05,,462,1.2657534246575342,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000093,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2025-01-08,,459,1.2575342465753425,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000113,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2025-01-16,,451,1.2356164383561643,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000040,No benches at 1609 Lavaca/17th (Midblock) bus stop,Open,2025-01-22,,445,1.2191780821917808,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000122,Request bench installation at 1609 Lavaca/17th (Midblock),Closed,2025-02-24,2025-02-24,0,0.0,No,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000051,No benches at 1609 Lavaca/17th (Midblock) bus stop,Closed,2025-03-01,2025-03-01,0,0.0,No,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000062,No benches at 1609 Lavaca/17th (Midblock) bus stop,Open,2025-03-07,,401,1.0986301369863014,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000064,Request bench installation at 1609 Lavaca/17th (Midblock),Closed,2025-07-06,2025-07-06,0,0.0,No,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000066,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2025-09-18,,206,0.5643835616438356,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000032,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2025-12-24,,109,0.29863013698630136,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000074,No benches at 1609 Lavaca/17th (Midblock) bus stop,Open,2025-12-31,,102,0.27945205479452057,Yes,2025
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000134,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2026-01-01,,101,0.27671232876712326,Yes,2026
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000056,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2026-02-10,,61,0.16712328767123288,Yes,2026
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000010,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2026-02-18,,53,0.14520547945205478,Yes,2026
1,1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,SR23000037,Request bench installation at 1609 Lavaca/17th (Midblock),Open,2026-02-22,,49,0.13424657534246576,Yes,2026
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000085,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Open,2023-01-13,,1185,3.2465753424657535,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000140,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Open,2023-01-14,,1184,3.243835616438356,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000111,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2023-01-17,,1181,3.2356164383561645,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000043,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-01-31,,1167,3.197260273972603,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000052,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2023-03-03,,1136,3.1123287671232878,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000068,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Closed,2023-03-18,2023-03-18,0,0.0,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000067,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Closed,2023-03-19,2023-03-19,0,0.0,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000053,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-04-02,,1106,3.03013698630137,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000098,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Open,2023-05-30,,1048,2.871232876712329,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000065,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Open,2023-06-23,,1024,2.8054794520547945,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000063,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Open,2023-07-19,,998,2.734246575342466,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000072,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2023-08-03,,983,2.6931506849315068,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000002,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Closed,2023-08-18,2023-08-18,0,0.0,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000080,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2023-10-04,,921,2.5232876712328767,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000008,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Open,2023-10-15,,910,2.493150684931507,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000091,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-11-02,,892,2.4438356164383563,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000102,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Open,2023-11-06,,888,2.4328767123287673,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000011,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2023-11-21,,873,2.3917808219178083,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000046,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Open,2023-12-03,,861,2.3589041095890413,Yes,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000045,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Closed,2023-12-20,2023-12-20,0,0.0,No,2023
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000115,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Open,2024-01-09,,824,2.2575342465753425,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000125,Request shelter installation at 1609 Lavaca/17th (Midblock),Closed,2024-01-16,2024-01-16,0,0.0,No,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000139,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Open,2024-03-03,,770,2.1095890410958904,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000055,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Open,2024-03-11,,762,2.0876712328767124,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000137,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2024-06-09,,672,1.841095890410959,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000007,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2024-06-14,,667,1.8273972602739725,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000089,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,Open,2024-07-15,,636,1.7424657534246575,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000076,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2024-08-08,,612,1.6767123287671233,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000108,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2024-08-15,,605,1.6575342465753424,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000017,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Open,2024-08-20,,600,1.643835616438356,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000023,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2024-08-22,,598,1.6383561643835616,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000135,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Open,2024-09-16,,573,1.5698630136986302,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000141,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2024-09-26,,563,1.5424657534246575,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000061,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2024-09-30,,559,1.5315068493150685,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000087,Request shelter installation at 1609 Lavaca/17th (Midblock),Closed,2024-10-12,2024-10-12,0,0.0,No,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000132,Request shelter installation at 1609 Lavaca/17th (Midblock),Open,2024-10-14,,545,1.4931506849315068,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000025,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Open,2024-11-09,,519,1.4219178082191781,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000019,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Open,2024-12-03,,495,1.356164383561644,Yes,2024
1,1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,SR23000105,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,Open,2024-12-15,,483,1.3232876712328767,Yes,2024
