Service Request (SR) Number,SR Description,Owning Department,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
SR23000020,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Transportation,Phone,Open,06/02/2024 12:00:00 AM,06/02/2024 12:00:00 AM,06/02/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000021,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Transportation,Phone,Closed,07/18/2024 12:00:00 AM,07/18/2024 12:00:00 AM,07/18/2024 12:00:00 AM,07/18/2024 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000022,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,03/25/2026 12:00:00 AM,03/25/2026 12:00:00 AM,03/25/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000023,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,08/22/2024 12:00:00 AM,08/22/2024 12:00:00 AM,08/22/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000024,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Closed,03/05/2025 12:00:00 AM,03/05/2025 12:00:00 AM,03/05/2025 12:00:00 AM,03/05/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000025,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Open,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000026,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Transportation,Phone,Open,06/03/2024 12:00:00 AM,06/03/2024 12:00:00 AM,06/03/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000027,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Closed,02/10/2025 12:00:00 AM,02/10/2025 12:00:00 AM,02/10/2025 12:00:00 AM,02/10/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000028,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Transportation,Phone,Open,09/22/2023 12:00:00 AM,09/22/2023 12:00:00 AM,09/22/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000029,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Transportation,Phone,Open,05/09/2023 12:00:00 AM,05/09/2023 12:00:00 AM,05/09/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000030,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Closed,04/10/2025 12:00:00 AM,04/10/2025 12:00:00 AM,04/10/2025 12:00:00 AM,04/10/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000031,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Transportation,Phone,Open,05/10/2024 12:00:00 AM,05/10/2024 12:00:00 AM,05/10/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000032,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,12/24/2025 12:00:00 AM,12/24/2025 12:00:00 AM,12/24/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000033,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Open,06/08/2025 12:00:00 AM,06/08/2025 12:00:00 AM,06/08/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000034,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Transportation,Phone,Open,01/20/2024 12:00:00 AM,01/20/2024 12:00:00 AM,01/20/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000035,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,06/08/2025 12:00:00 AM,06/08/2025 12:00:00 AM,06/08/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000036,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Closed,10/11/2025 12:00:00 AM,10/11/2025 12:00:00 AM,10/11/2025 12:00:00 AM,10/11/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000037,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,02/22/2026 12:00:00 AM,02/22/2026 12:00:00 AM,02/22/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000038,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,12/02/2025 12:00:00 AM,12/02/2025 12:00:00 AM,12/02/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000039,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Transportation,Phone,Open,04/09/2023 12:00:00 AM,04/09/2023 12:00:00 AM,04/09/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000040,No benches at 1609 Lavaca/17th (Midblock) bus stop,Transportation,Phone,Open,01/22/2025 12:00:00 AM,01/22/2025 12:00:00 AM,01/22/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000041,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Closed,01/01/2025 12:00:00 AM,01/01/2025 12:00:00 AM,01/01/2025 12:00:00 AM,01/01/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000042,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Open,09/28/2025 12:00:00 AM,09/28/2025 12:00:00 AM,09/28/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000043,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,01/31/2023 12:00:00 AM,01/31/2023 12:00:00 AM,01/31/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000044,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Closed,04/10/2024 12:00:00 AM,04/10/2024 12:00:00 AM,04/10/2024 12:00:00 AM,04/10/2024 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000045,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Transportation,Phone,Closed,12/20/2023 12:00:00 AM,12/20/2023 12:00:00 AM,12/20/2023 12:00:00 AM,12/20/2023 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000046,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Transportation,Phone,Open,12/03/2023 12:00:00 AM,12/03/2023 12:00:00 AM,12/03/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000047,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,08/08/2023 12:00:00 AM,08/08/2023 12:00:00 AM,08/08/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000048,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Transportation,Phone,Open,07/25/2025 12:00:00 AM,07/25/2025 12:00:00 AM,07/25/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000049,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Closed,06/14/2025 12:00:00 AM,06/14/2025 12:00:00 AM,06/14/2025 12:00:00 AM,06/14/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000050,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Transportation,Phone,Open,09/07/2023 12:00:00 AM,09/07/2023 12:00:00 AM,09/07/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000051,No benches at 1609 Lavaca/17th (Midblock) bus stop,Transportation,Phone,Closed,03/01/2025 12:00:00 AM,03/01/2025 12:00:00 AM,03/01/2025 12:00:00 AM,03/01/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000052,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,03/03/2023 12:00:00 AM,03/03/2023 12:00:00 AM,03/03/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000053,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,04/02/2023 12:00:00 AM,04/02/2023 12:00:00 AM,04/02/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000054,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,07/15/2023 12:00:00 AM,07/15/2023 12:00:00 AM,07/15/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000055,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Open,03/11/2024 12:00:00 AM,03/11/2024 12:00:00 AM,03/11/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000056,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,02/10/2026 12:00:00 AM,02/10/2026 12:00:00 AM,02/10/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000057,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000058,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Transportation,Phone,Closed,07/26/2024 12:00:00 AM,07/26/2024 12:00:00 AM,07/26/2024 12:00:00 AM,07/26/2024 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000059,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Transportation,Phone,Open,03/18/2026 12:00:00 AM,03/18/2026 12:00:00 AM,03/18/2026 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000060,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,04/16/2024 12:00:00 AM,04/16/2024 12:00:00 AM,04/16/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000061,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,09/30/2024 12:00:00 AM,09/30/2024 12:00:00 AM,09/30/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000062,No benches at 1609 Lavaca/17th (Midblock) bus stop,Transportation,Phone,Open,03/07/2025 12:00:00 AM,03/07/2025 12:00:00 AM,03/07/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000063,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Transportation,Phone,Open,07/19/2023 12:00:00 AM,07/19/2023 12:00:00 AM,07/19/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000064,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Closed,07/06/2025 12:00:00 AM,07/06/2025 12:00:00 AM,07/06/2025 12:00:00 AM,07/06/2025 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000065,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Transportation,Phone,Open,06/23/2023 12:00:00 AM,06/23/2023 12:00:00 AM,06/23/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000066,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,09/18/2025 12:00:00 AM,09/18/2025 12:00:00 AM,09/18/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000067,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Closed,03/19/2023 12:00:00 AM,03/19/2023 12:00:00 AM,03/19/2023 12:00:00 AM,03/19/2023 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000068,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Transportation,Phone,Closed,03/18/2023 12:00:00 AM,03/18/2023 12:00:00 AM,03/18/2023 12:00:00 AM,03/18/2023 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000069,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Closed,07/13/2023 12:00:00 AM,07/13/2023 12:00:00 AM,07/13/2023 12:00:00 AM,07/13/2023 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000070,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Transportation,Phone,Open,04/10/2024 12:00:00 AM,04/10/2024 12:00:00 AM,04/10/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000071,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Closed,03/25/2023 12:00:00 AM,03/25/2023 12:00:00 AM,03/25/2023 12:00:00 AM,03/25/2023 12:00:00 AM,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000072,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,08/03/2023 12:00:00 AM,08/03/2023 12:00:00 AM,08/03/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000073,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Transportation,Phone,Open,11/02/2023 12:00:00 AM,11/02/2023 12:00:00 AM,11/02/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000074,No benches at 1609 Lavaca/17th (Midblock) bus stop,Transportation,Phone,Open,12/31/2025 12:00:00 AM,12/31/2025 12:00:00 AM,12/31/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000075,Request bench installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,02/14/2023 12:00:00 AM,02/14/2023 12:00:00 AM,02/14/2023 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000076,Request shelter installation at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,08/08/2024 12:00:00 AM,08/08/2024 12:00:00 AM,08/08/2024 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
SR23000077,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Transportation,Phone,Open,01/29/2025 12:00:00 AM,01/29/2025 12:00:00 AM,01/29/2025 12:00:00 AM,,"1609 Lavaca & 17th (Midblock), AUSTIN, TX",,1609 Lavaca & 17th (Midblock),AUSTIN,78701,TRAVIS,,,,,,,,
