Stop Name,Total Calls,SR Number,Complaint Description,Status,Created Date,Is Safety Concern
1609 Lavaca/17th (Midblock),142,SR23000119,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Closed,07/19/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000058,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Closed,07/26/2024 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000109,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Closed,09/25/2025 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000092,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Open,10/02/2023 12:00:00 AM,Yes
1609 Lavaca/17th (Midblock),142,SR23000136,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Closed,10/03/2025 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000942,Transit stop 501 Pleasant Valley/5th needs better lighting,Closed,01/11/2024 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000919,Feeling unsafe waiting at 501 Pleasant Valley/5th,Closed,02/04/2023 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000982,Safety concerns at 501 Pleasant Valley/5th bus stop after dark,Open,03/18/2024 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000916,Transit stop 501 Pleasant Valley/5th needs better lighting,Open,05/03/2025 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000929,Feeling unsafe waiting at 501 Pleasant Valley/5th,Open,05/25/2024 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000980,Feeling unsafe waiting at 501 Pleasant Valley/5th,Open,05/30/2025 12:00:00 AM,Yes
501 Pleasant Valley/5th,85,SR23000948,Safety concerns at 501 Pleasant Valley/5th bus stop after dark,Open,09/11/2023 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001345,Transit stop 8th Street NB (Trinity/8th) needs better lighting,Open,01/10/2026 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001303,Transit stop 8th Street NB (Trinity/8th) needs better lighting,Open,02/26/2026 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001340,Safety concerns at 8th Street NB (Trinity/8th) bus stop after dark,Closed,04/13/2025 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001346,Request safety improvements at 8th Street NB (Trinity/8th) stop,Open,06/16/2023 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001337,Safety concerns at 8th Street NB (Trinity/8th) bus stop after dark,Open,06/20/2023 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001307,Safety concerns at 8th Street NB (Trinity/8th) bus stop after dark,Open,06/28/2024 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001316,Request safety improvements at 8th Street NB (Trinity/8th) stop,Closed,07/26/2024 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001355,Request safety improvements at 8th Street NB (Trinity/8th) stop,Open,08/08/2025 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001328,Request safety improvements at 8th Street NB (Trinity/8th) stop,Open,09/29/2024 12:00:00 AM,Yes
8th Street NB (Trinity/8th),68,SR23001309,Transit stop 8th Street NB (Trinity/8th) needs better lighting,Closed,10/03/2023 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001167,Transit stop Bluebonnet Station (SB) needs better lighting,Open,02/02/2025 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001149,Safety concerns at Bluebonnet Station (SB) bus stop after dark,Open,02/27/2026 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001187,Transit stop Bluebonnet Station (SB) needs better lighting,Closed,03/25/2024 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001217,Feeling unsafe waiting at Bluebonnet Station (SB),Open,04/23/2023 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001197,Transit stop Bluebonnet Station (SB) needs better lighting,Open,07/09/2024 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001169,Transit stop Bluebonnet Station (SB) needs better lighting,Open,08/12/2025 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001172,Safety concerns at Bluebonnet Station (SB) bus stop after dark,Open,08/21/2025 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001213,Transit stop Bluebonnet Station (SB) needs better lighting,Closed,09/04/2024 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001208,Transit stop Bluebonnet Station (SB) needs better lighting,Open,09/27/2024 12:00:00 AM,Yes
Bluebonnet Station (SB),75,SR23001159,Request safety improvements at Bluebonnet Station (SB) stop,Open,11/07/2024 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000244,Transit stop Guadalupe/16th Street needs better lighting,Closed,01/03/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000232,Transit stop Guadalupe/16th Street needs better lighting,Open,01/14/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000199,Transit stop Guadalupe/16th Street needs better lighting,Open,02/06/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000227,Feeling unsafe waiting at Guadalupe/16th Street,Open,02/08/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000272,Transit stop Guadalupe/16th Street needs better lighting,Open,02/22/2023 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000269,Safety concerns at Guadalupe/16th Street bus stop after dark,Open,03/21/2026 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000189,Transit stop Guadalupe/16th Street needs better lighting,Open,04/12/2024 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000169,Request safety improvements at Guadalupe/16th Street stop,Open,04/26/2024 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000276,Request safety improvements at Guadalupe/16th Street stop,Open,06/09/2024 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000167,Request safety improvements at Guadalupe/16th Street stop,Open,07/07/2024 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000240,Request safety improvements at Guadalupe/16th Street stop,Open,07/22/2023 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000247,Request safety improvements at Guadalupe/16th Street stop,Open,08/28/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000206,Request safety improvements at Guadalupe/16th Street stop,Open,09/04/2024 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000164,Transit stop Guadalupe/16th Street needs better lighting,Open,09/17/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000201,Feeling unsafe waiting at Guadalupe/16th Street,Open,10/06/2025 12:00:00 AM,Yes
Guadalupe/16th Street,138,SR23000239,Feeling unsafe waiting at Guadalupe/16th Street,Open,11/14/2024 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000806,Request safety improvements at Guadalupe/4th stop,Open,01/19/2025 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000785,Transit stop Guadalupe/4th needs better lighting,Open,02/01/2025 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000723,Request safety improvements at Guadalupe/4th stop,Closed,02/05/2023 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000726,Feeling unsafe waiting at Guadalupe/4th,Closed,02/26/2026 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000805,Request safety improvements at Guadalupe/4th stop,Open,03/15/2023 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000801,Transit stop Guadalupe/4th needs better lighting,Open,05/07/2025 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000794,Request safety improvements at Guadalupe/4th stop,Open,08/25/2024 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000786,Feeling unsafe waiting at Guadalupe/4th,Open,10/22/2024 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000796,Safety concerns at Guadalupe/4th bus stop after dark,Open,12/03/2025 12:00:00 AM,Yes
Guadalupe/4th,92,SR23000761,Safety concerns at Guadalupe/4th bus stop after dark,Open,12/13/2025 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000477,Transit stop Guadalupe/W. 21st Street needs better lighting,Open,01/01/2025 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000441,Feeling unsafe waiting at Guadalupe/W. 21st Street,Open,01/13/2026 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000431,Request safety improvements at Guadalupe/W. 21st Street stop,Open,02/06/2026 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000460,Feeling unsafe waiting at Guadalupe/W. 21st Street,Open,03/05/2026 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000497,Safety concerns at Guadalupe/W. 21st Street bus stop after dark,Open,04/20/2025 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000417,Transit stop Guadalupe/W. 21st Street needs better lighting,Open,04/26/2024 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000449,Safety concerns at Guadalupe/W. 21st Street bus stop after dark,Open,05/06/2025 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000486,Safety concerns at Guadalupe/W. 21st Street bus stop after dark,Closed,07/04/2023 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000416,Request safety improvements at Guadalupe/W. 21st Street stop,Closed,10/03/2023 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000465,Request safety improvements at Guadalupe/W. 21st Street stop,Open,10/19/2025 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000445,Transit stop Guadalupe/W. 21st Street needs better lighting,Open,11/03/2024 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000461,Request safety improvements at Guadalupe/W. 21st Street stop,Open,12/06/2024 12:00:00 AM,Yes
Guadalupe/W. 21st Street,112,SR23000510,Request safety improvements at Guadalupe/W. 21st Street stop,Closed,12/26/2024 12:00:00 AM,Yes
Lavaca/4th,135,SR23000291,Safety concerns at Lavaca/4th bus stop after dark,Open,01/11/2023 12:00:00 AM,Yes
Lavaca/4th,135,SR23000331,Safety concerns at Lavaca/4th bus stop after dark,Open,01/11/2024 12:00:00 AM,Yes
Lavaca/4th,135,SR23000323,Feeling unsafe waiting at Lavaca/4th,Open,01/17/2026 12:00:00 AM,Yes
Lavaca/4th,135,SR23000388,Request safety improvements at Lavaca/4th stop,Open,02/17/2023 12:00:00 AM,Yes
Lavaca/4th,135,SR23000373,Safety concerns at Lavaca/4th bus stop after dark,Open,02/19/2024 12:00:00 AM,Yes
Lavaca/4th,135,SR23000348,Safety concerns at Lavaca/4th bus stop after dark,Open,02/20/2025 12:00:00 AM,Yes
Lavaca/4th,135,SR23000313,Request safety improvements at Lavaca/4th stop,Open,06/01/2025 12:00:00 AM,Yes
Lavaca/4th,135,SR23000359,Safety concerns at Lavaca/4th bus stop after dark,Open,09/21/2024 12:00:00 AM,Yes
Lavaca/4th,135,SR23000405,Transit stop Lavaca/4th needs better lighting,Open,10/02/2024 12:00:00 AM,Yes
Lavaca/4th,135,SR23000413,Transit stop Lavaca/4th needs better lighting,Closed,11/01/2023 12:00:00 AM,Yes
Lavaca/4th,135,SR23000286,Request safety improvements at Lavaca/4th stop,Open,11/15/2023 12:00:00 AM,Yes
Lavaca/4th,135,SR23000357,Request safety improvements at Lavaca/4th stop,Open,12/22/2025 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001414,Request safety improvements at North Lamar Transit Center stop,Closed,02/08/2023 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001388,Feeling unsafe waiting at North Lamar Transit Center,Closed,04/28/2023 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001372,Request safety improvements at North Lamar Transit Center stop,Open,05/05/2023 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001419,Feeling unsafe waiting at North Lamar Transit Center,Open,07/23/2023 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001403,Transit stop North Lamar Transit Center needs better lighting,Open,07/30/2023 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001365,Transit stop North Lamar Transit Center needs better lighting,Open,08/03/2024 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001412,Feeling unsafe waiting at North Lamar Transit Center,Open,08/13/2025 12:00:00 AM,Yes
North Lamar Transit Center,67,SR23001384,Transit stop North Lamar Transit Center needs better lighting,Closed,12/30/2023 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001092,Feeling unsafe waiting at Northcross Station (SB),Closed,02/01/2024 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001103,Safety concerns at Northcross Station (SB) bus stop after dark,Open,02/02/2024 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001083,Feeling unsafe waiting at Northcross Station (SB),Open,03/29/2026 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001091,Safety concerns at Northcross Station (SB) bus stop after dark,Open,04/28/2025 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001071,Transit stop Northcross Station (SB) needs better lighting,Open,07/27/2025 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001121,Transit stop Northcross Station (SB) needs better lighting,Open,08/25/2025 12:00:00 AM,Yes
Northcross Station (SB),78,SR23001106,Safety concerns at Northcross Station (SB) bus stop after dark,Open,11/11/2025 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001038,Request safety improvements at Republic Square Station (NB) stop,Open,01/08/2025 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001063,Transit stop Republic Square Station (NB) needs better lighting,Open,01/15/2024 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23000985,Request safety improvements at Republic Square Station (NB) stop,Open,02/21/2023 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001008,Request safety improvements at Republic Square Station (NB) stop,Closed,04/07/2023 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23000995,Transit stop Republic Square Station (NB) needs better lighting,Open,05/23/2023 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001042,Transit stop Republic Square Station (NB) needs better lighting,Open,08/09/2024 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001036,Feeling unsafe waiting at Republic Square Station (NB),Open,08/22/2023 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001010,Transit stop Republic Square Station (NB) needs better lighting,Closed,10/31/2024 12:00:00 AM,Yes
Republic Square Station (NB),82,SR23001006,Request safety improvements at Republic Square Station (NB) stop,Closed,11/12/2025 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000568,Feeling unsafe waiting at UT Dean Keeton Station (NB),Open,01/09/2026 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000551,Request safety improvements at UT Dean Keeton Station (NB) stop,Open,01/29/2026 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000619,Safety concerns at UT Dean Keeton Station (NB) bus stop after dark,Closed,03/11/2023 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000533,Request safety improvements at UT Dean Keeton Station (NB) stop,Open,03/22/2023 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000621,Transit stop UT Dean Keeton Station (NB) needs better lighting,Open,04/11/2024 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000606,Transit stop UT Dean Keeton Station (NB) needs better lighting,Closed,04/27/2023 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000594,Feeling unsafe waiting at UT Dean Keeton Station (NB),Closed,04/27/2025 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000617,Request safety improvements at UT Dean Keeton Station (NB) stop,Open,06/11/2025 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000613,Safety concerns at UT Dean Keeton Station (NB) bus stop after dark,Open,06/27/2023 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000579,Feeling unsafe waiting at UT Dean Keeton Station (NB),Closed,06/29/2023 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000601,Request safety improvements at UT Dean Keeton Station (NB) stop,Open,07/04/2024 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000616,Transit stop UT Dean Keeton Station (NB) needs better lighting,Open,11/02/2024 12:00:00 AM,Yes
UT Dean Keeton Station (NB),98,SR23000530,Feeling unsafe waiting at UT Dean Keeton Station (NB),Open,12/06/2024 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000708,Feeling unsafe waiting at Vic Mathias/Auditorium Shores (SB),Open,01/27/2024 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000705,Feeling unsafe waiting at Vic Mathias/Auditorium Shores (SB),Open,02/03/2026 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000706,Safety concerns at Vic Mathias/Auditorium Shores (SB) bus stop after dark,Closed,02/19/2025 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000633,Safety concerns at Vic Mathias/Auditorium Shores (SB) bus stop after dark,Closed,04/07/2025 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000636,Request safety improvements at Vic Mathias/Auditorium Shores (SB) stop,Open,06/09/2025 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000686,Safety concerns at Vic Mathias/Auditorium Shores (SB) bus stop after dark,Closed,07/08/2023 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000710,Request safety improvements at Vic Mathias/Auditorium Shores (SB) stop,Open,11/02/2023 12:00:00 AM,Yes
Vic Mathias/Auditorium Shores (SB),95,SR23000676,Feeling unsafe waiting at Vic Mathias/Auditorium Shores (SB),Open,11/11/2025 12:00:00 AM,Yes
West 38th Station (SB),72,SR23001280,Request safety improvements at West 38th Station (SB) stop,Open,02/26/2023 12:00:00 AM,Yes
West 38th Station (SB),72,SR23001269,Safety concerns at West 38th Station (SB) bus stop after dark,Open,04/04/2023 12:00:00 AM,Yes
West 38th Station (SB),72,SR23001231,Transit stop West 38th Station (SB) needs better lighting,Closed,06/04/2025 12:00:00 AM,Yes
West 38th Station (SB),72,SR23001274,Feeling unsafe waiting at West 38th Station (SB),Closed,07/18/2024 12:00:00 AM,Yes
West 38th Station (SB),72,SR23001250,Safety concerns at West 38th Station (SB) bus stop after dark,Closed,07/30/2024 12:00:00 AM,Yes
West 38th Station (SB),72,SR23001259,Feeling unsafe waiting at West 38th Station (SB),Open,12/22/2025 12:00:00 AM,Yes
