Rank,Stop Name,Category,Responsible Party,SR Number,Complaint Description,Status,Created Date,Close Date,Age Days,Age Years,Duplicate After Closed,Year,ADA Match Type,Normalized Stop Name
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000277,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2023-11-28,,866,2.372602739726027,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000166,No weather protection at Guadalupe/16th Street transit stop,Open,2023-12-13,,851,2.3315068493150686,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000207,No shelter at Guadalupe/16th Street transit stop,Open,2023-12-17,,847,2.3205479452054796,Yes,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000226,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Closed,2023-12-18,2023-12-18,0,0.0,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000260,Transit stop Guadalupe/16th Street needs shelter for rider protection,Closed,2024-01-05,2024-01-05,0,0.0,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000186,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2024-02-07,,795,2.1780821917808217,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000212,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2024-02-07,,795,2.1780821917808217,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000200,Request shelter installation at Guadalupe/16th Street,Open,2024-03-16,,757,2.073972602739726,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000183,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2024-03-26,,747,2.0465753424657533,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000145,Request shelter installation at Guadalupe/16th Street,Open,2024-04-04,,738,2.021917808219178,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000271,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2024-04-16,,726,1.989041095890411,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000216,No shelter at Guadalupe/16th Street transit stop,Closed,2024-04-27,2024-04-27,0,0.0,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000157,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2024-05-12,,700,1.917808219178082,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000158,Request shelter installation at Guadalupe/16th Street,Open,2024-06-02,,679,1.8602739726027397,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000230,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2024-06-17,,664,1.819178082191781,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000179,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2024-06-28,,653,1.789041095890411,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000202,No shelter at Guadalupe/16th Street transit stop,Closed,2024-08-05,2024-08-05,0,0.0,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000233,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2024-08-11,,609,1.6684931506849314,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000265,Request shelter installation at Guadalupe/16th Street,Open,2024-08-14,,606,1.6602739726027398,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000192,No shelter at Guadalupe/16th Street transit stop,Open,2024-09-08,,581,1.5917808219178082,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000197,No shelter at Guadalupe/16th Street transit stop,Open,2024-09-19,,570,1.5616438356164384,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000266,Transit stop Guadalupe/16th Street needs weather shelter,Open,2024-09-27,,562,1.5397260273972602,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000178,No shelter at Guadalupe/16th Street transit stop,Open,2024-10-01,,558,1.5287671232876712,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000195,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2024-10-05,,554,1.5178082191780822,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000259,No shelter at Guadalupe/16th Street transit stop,Open,2024-10-29,,530,1.452054794520548,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000208,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2024-12-09,,489,1.3397260273972602,Yes,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000253,Request shelter installation at Guadalupe/16th Street,Open,2025-01-07,,460,1.2602739726027397,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000154,Request shelter installation at Guadalupe/16th Street,Open,2025-02-19,,417,1.1424657534246576,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000243,Transit stop Guadalupe/16th Street needs weather shelter,Open,2025-03-05,,403,1.104109589041096,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000224,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2025-03-27,,381,1.0438356164383562,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000252,Transit stop Guadalupe/16th Street needs weather shelter,Open,2025-03-30,,378,1.0356164383561643,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000174,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2025-04-07,,370,1.0136986301369864,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000210,No shelter at Guadalupe/16th Street transit stop,Open,2025-06-18,,298,0.8164383561643835,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000267,Transit stop Guadalupe/16th Street needs weather shelter,Open,2025-06-18,,298,0.8164383561643835,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000146,Transit stop Guadalupe/16th Street needs weather shelter,Open,2025-07-05,,281,0.7698630136986301,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000257,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2025-07-08,,278,0.7616438356164383,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000148,No shelter at Guadalupe/16th Street transit stop,Open,2025-07-15,,271,0.7424657534246575,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000238,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2025-08-02,,253,0.6931506849315069,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000190,No shelter at Guadalupe/16th Street transit stop,Open,2025-08-26,,229,0.6273972602739726,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000205,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Closed,2025-09-04,2025-09-04,0,0.0,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000270,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2025-09-07,,217,0.5945205479452055,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000273,Transit stop Guadalupe/16th Street needs weather shelter,Open,2025-09-18,,206,0.5643835616438356,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000263,No shelter at Guadalupe/16th Street transit stop,Closed,2025-09-21,2025-09-21,0,0.0,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000214,No shelter at Guadalupe/16th Street transit stop,Open,2025-11-01,,162,0.4438356164383562,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000237,No shelter at Guadalupe/16th Street transit stop,Open,2025-12-01,,132,0.36164383561643837,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000150,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2026-01-09,,93,0.2547945205479452,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000209,No weather protection at Guadalupe/16th Street transit stop,Open,2026-01-18,,84,0.23013698630136986,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000180,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Open,2026-01-21,,81,0.2219178082191781,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000255,No shelter at Guadalupe/16th Street transit stop,Closed,2026-01-27,2026-01-27,0,0.0,No,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000225,Transit stop Guadalupe/16th Street needs shelter for rider protection,Open,2026-02-05,,66,0.18082191780821918,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000151,No shelter at Guadalupe/16th Street transit stop,Open,2026-02-11,,60,0.1643835616438356,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000245,No shelter at Guadalupe/16th Street transit stop,Open,2026-02-23,,48,0.13150684931506848,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000204,Request shelter installation at Guadalupe/16th Street,Open,2026-03-13,,30,0.0821917808219178,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Missing Shelter,CapMetro,SR23000279,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Closed,2026-04-01,2026-04-01,0,0.0,No,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000272,Transit stop Guadalupe/16th Street needs better lighting,Open,2023-02-22,,1145,3.136986301369863,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000189,Transit stop Guadalupe/16th Street needs better lighting,Open,2024-04-12,,730,2.0,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000244,Transit stop Guadalupe/16th Street needs better lighting,Closed,2025-01-03,2025-01-03,0,0.0,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000232,Transit stop Guadalupe/16th Street needs better lighting,Open,2025-01-14,,453,1.2410958904109588,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000199,Transit stop Guadalupe/16th Street needs better lighting,Open,2025-02-06,,430,1.178082191780822,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000164,Transit stop Guadalupe/16th Street needs better lighting,Open,2025-09-17,,207,0.5671232876712329,Yes,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety (Lighting),City of Austin,SR23000269,Safety concerns at Guadalupe/16th Street bus stop after dark,Open,2026-03-21,,22,0.06027397260273973,Yes,2026,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000240,Request safety improvements at Guadalupe/16th Street stop,Open,2023-07-22,,995,2.7260273972602738,No,2023,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000169,Request safety improvements at Guadalupe/16th Street stop,Open,2024-04-26,,716,1.9616438356164383,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000276,Request safety improvements at Guadalupe/16th Street stop,Open,2024-06-09,,672,1.841095890410959,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000167,Request safety improvements at Guadalupe/16th Street stop,Open,2024-07-07,,644,1.7643835616438357,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000206,Request safety improvements at Guadalupe/16th Street stop,Open,2024-09-04,,585,1.6027397260273972,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000239,Feeling unsafe waiting at Guadalupe/16th Street,Open,2024-11-14,,514,1.4082191780821918,No,2024,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000227,Feeling unsafe waiting at Guadalupe/16th Street,Open,2025-02-08,,428,1.1726027397260275,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000247,Request safety improvements at Guadalupe/16th Street stop,Open,2025-08-28,,227,0.6219178082191781,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Safety Concerns,City of Austin / CapMetro,SR23000201,Feeling unsafe waiting at Guadalupe/16th Street,Open,2025-10-06,,188,0.5150684931506849,No,2025,Keyword Match,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000161,Riders have nowhere to sit at Guadalupe/16th Street,Open,2023-02-10,,1157,3.16986301369863,No,2023,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000149,Riders have nowhere to sit at Guadalupe/16th Street,Open,2023-11-04,,890,2.4383561643835616,No,2023,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000170,Riders have nowhere to sit at Guadalupe/16th Street,Open,2023-11-26,,868,2.378082191780822,No,2023,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000165,Riders have nowhere to sit at Guadalupe/16th Street,Open,2024-01-01,,832,2.2794520547945205,No,2024,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000228,Riders have nowhere to sit at Guadalupe/16th Street,Open,2024-02-06,,796,2.180821917808219,No,2024,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000172,Riders have nowhere to sit at Guadalupe/16th Street,Open,2024-02-19,,783,2.1452054794520548,No,2024,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000215,Riders have nowhere to sit at Guadalupe/16th Street,Open,2025-02-11,,425,1.1643835616438356,No,2025,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Sidewalk/ADA,City of Austin,SR23000241,Riders have nowhere to sit at Guadalupe/16th Street,Open,2026-03-29,,14,0.038356164383561646,No,2026,Category: Sidewalk/ADA,guadalupe/16th street
2,Guadalupe/16th Street,Weather Exposure,CapMetro,SR23000198,Riders getting wet at Guadalupe/16th Street during rain,Closed,2023-02-15,2023-02-15,0,0.0,No,2023,Keyword Match,guadalupe/16th street
