Rank,Stop Name,Total Calls,SR Number,Complaint Description,Category,Responsible Party,Year,Status,Created Date
1,1609 Lavaca/17th (Midblock),142,SR23000013,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Safety Concerns,City of Austin / CapMetro,2025,Open,01/01/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000014,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2023,Open,02/01/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000015,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Safety (Lighting),City of Austin,2024,Open,04/14/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000016,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Safety (Lighting),City of Austin,2025,Open,06/13/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000017,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2024,Open,08/20/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000018,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2025,Open,11/09/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000019,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2024,Open,12/03/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000020,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Safety (Lighting),City of Austin,2024,Open,06/02/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000021,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2024,Closed,07/18/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000022,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2026,Open,03/25/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000023,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Open,08/22/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000024,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Closed,03/05/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000025,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,11/09/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000026,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Safety (Lighting),City of Austin,2024,Open,06/03/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000027,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Closed,02/10/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000028,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,09/22/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000029,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Weather Exposure,CapMetro,2023,Open,05/09/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000030,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Closed,04/10/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000031,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Safety (Lighting),City of Austin,2024,Open,05/10/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000032,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2025,Open,12/24/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000033,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,06/08/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000034,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Safety (Lighting),City of Austin,2024,Open,01/20/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000035,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Open,06/08/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000036,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Closed,10/11/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000037,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2026,Open,02/22/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000038,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2025,Open,12/02/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000039,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Weather Exposure,CapMetro,2023,Open,04/09/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000040,No benches at 1609 Lavaca/17th (Midblock) bus stop,Missing Benches,CapMetro,2025,Open,01/22/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000041,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Closed,01/01/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000042,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,09/28/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000043,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2023,Open,01/31/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000044,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2024,Closed,04/10/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000045,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2023,Closed,12/20/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000046,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2023,Open,12/03/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000047,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2023,Open,08/08/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000048,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2025,Open,07/25/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000049,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Closed,06/14/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000050,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Weather Exposure,CapMetro,2023,Open,09/07/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000051,No benches at 1609 Lavaca/17th (Midblock) bus stop,Missing Benches,CapMetro,2025,Closed,03/01/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000052,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2023,Open,03/03/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000053,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2023,Open,04/02/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000054,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2023,Open,07/15/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000055,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,03/11/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000056,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2026,Open,02/10/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000057,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2023,Open,03/06/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000058,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Safety Concerns,City of Austin / CapMetro,2024,Closed,07/26/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000059,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2026,Open,03/18/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000060,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2024,Open,04/16/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000061,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Open,09/30/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000062,No benches at 1609 Lavaca/17th (Midblock) bus stop,Missing Benches,CapMetro,2025,Open,03/07/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000063,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2023,Open,07/19/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000064,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2025,Closed,07/06/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000065,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2023,Open,06/23/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000066,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2025,Open,09/18/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000067,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2023,Closed,03/19/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000068,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2023,Closed,03/18/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000069,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2023,Closed,07/13/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000070,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Safety (Lighting),City of Austin,2024,Open,04/10/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000071,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2023,Closed,03/25/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000072,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2023,Open,08/03/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000073,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2023,Open,11/02/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000074,No benches at 1609 Lavaca/17th (Midblock) bus stop,Missing Benches,CapMetro,2025,Open,12/31/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000075,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2023,Open,02/14/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000076,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Open,08/08/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000077,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Safety Concerns,City of Austin / CapMetro,2025,Open,01/29/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000078,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2026,Open,01/30/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000079,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2025,Open,12/18/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000080,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2023,Open,10/04/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000081,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2024,Open,11/18/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000082,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,06/05/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000083,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2025,Open,11/21/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000084,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,01/03/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000085,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2023,Open,01/13/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000086,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2025,Open,02/03/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000087,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Closed,10/12/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000088,Safety concerns at 1609 Lavaca/17th (Midblock) bus stop after dark,Safety (Lighting),City of Austin,2025,Open,04/18/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000089,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2024,Open,07/15/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000090,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2025,Closed,10/22/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000091,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2023,Open,11/02/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000092,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Safety Concerns,City of Austin / CapMetro,2023,Open,10/02/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000093,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2025,Open,01/08/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000094,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,10/28/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000095,Transit stop 1609 Lavaca/17th (Midblock) needs weather shelter,Missing Shelter,CapMetro,2026,Closed,01/07/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000096,No benches at 1609 Lavaca/17th (Midblock) bus stop,Missing Benches,CapMetro,2024,Open,11/15/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000097,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2024,Open,05/11/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000098,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2023,Open,05/30/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000099,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,10/10/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000100,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Open,11/13/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000101,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2024,Open,12/20/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000102,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2023,Open,11/06/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000103,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Safety (Lighting),City of Austin,2024,Open,03/22/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000104,Transit stop 1609 Lavaca/17th (Midblock) needs better lighting,Safety (Lighting),City of Austin,2025,Open,06/19/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000105,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2024,Open,12/15/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000106,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2024,Closed,09/28/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000107,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2026,Closed,01/14/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000108,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2024,Open,08/15/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000109,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Safety Concerns,City of Austin / CapMetro,2025,Closed,09/25/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000110,No weather protection at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2025,Open,03/27/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000111,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2023,Open,01/17/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000112,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2025,Open,02/05/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000113,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2025,Open,01/16/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000114,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Weather Exposure,CapMetro,2025,Open,04/14/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000115,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,01/09/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000116,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,06/17/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000117,Missing seating at 1609 Lavaca/17th (Midblock) transit stop,Missing Benches,CapMetro,2025,Open,01/05/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000118,Riders have nowhere to sit at 1609 Lavaca/17th (Midblock),Other,TBD,2023,Open,07/31/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000119,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Safety Concerns,City of Austin / CapMetro,2024,Closed,07/19/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000120,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Safety Concerns,City of Austin / CapMetro,2024,Open,03/30/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000121,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2023,Open,10/23/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000122,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2025,Closed,02/24/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000123,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,01/14/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000124,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2025,Open,01/14/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000125,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Closed,01/16/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000126,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2025,Open,10/17/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000127,Request safety improvements at 1609 Lavaca/17th (Midblock) stop,Safety Concerns,City of Austin / CapMetro,2025,Open,06/19/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000128,Riders getting wet at 1609 Lavaca/17th (Midblock) during rain,Weather Exposure,CapMetro,2025,Open,11/14/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000129,Bus stop 1609 Lavaca/17th (Midblock) exposed to extreme heat/sun,Weather Exposure,CapMetro,2023,Open,07/29/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000130,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Open,05/13/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000131,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2024,Open,05/10/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000132,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Open,10/14/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000133,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2025,Open,01/18/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000134,Request bench installation at 1609 Lavaca/17th (Midblock),Missing Benches,CapMetro,2026,Open,01/01/2026 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000135,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2024,Open,09/16/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000136,Feeling unsafe waiting at 1609 Lavaca/17th (Midblock),Safety Concerns,City of Austin / CapMetro,2025,Closed,10/03/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000137,Request shelter installation at 1609 Lavaca/17th (Midblock),Missing Shelter,CapMetro,2024,Open,06/09/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000138,Transit stop 1609 Lavaca/17th (Midblock) needs shelter for rider protection,Missing Shelter,CapMetro,2025,Closed,03/10/2025 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000139,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2024,Open,03/03/2024 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000140,Bus stop at 1609 Lavaca/17th (Midblock) missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2023,Open,01/14/2023 12:00:00 AM
1,1609 Lavaca/17th (Midblock),142,SR23000141,No shelter at 1609 Lavaca/17th (Midblock) transit stop,Missing Shelter,CapMetro,2024,Open,09/26/2024 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000142,Missing seating at Guadalupe/16th Street transit stop,Missing Benches,CapMetro,2025,Closed,11/20/2025 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000143,Request shelter installation at Guadalupe/16th Street,Missing Shelter,CapMetro,2023,Closed,09/15/2023 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000144,Bus stop at Guadalupe/16th Street missing shelter - riders exposed to weather,Missing Shelter,CapMetro,2023,Open,07/14/2023 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000145,Request shelter installation at Guadalupe/16th Street,Missing Shelter,CapMetro,2024,Open,04/04/2024 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000146,Transit stop Guadalupe/16th Street needs weather shelter,Missing Shelter,CapMetro,2025,Open,07/05/2025 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000147,Request bench installation at Guadalupe/16th Street,Missing Benches,CapMetro,2024,Open,01/17/2024 12:00:00 AM
2,Guadalupe/16th Street,138,SR23000148,No shelter at Guadalupe/16th Street transit stop,Missing Shelter,CapMetro,2025,Open,07/15/2025 12:00:00 AM
